taxid	species	rna_count	illumina_rna_count	cds_link
49169	Rhododendron ovatum	17	17	
122812	Sonneratia alba	17	17	
106335	Hibiscus syriacus	17	17	
4535	Oryza officinalis	17	17	
142760	Solanum lycopersicoides	18	16	
289637	Sapria himalayana	17	16	
74823	Papaver nudicaule	16	16	
74524	Trifolium occidentale	16	16	
419125	Nymphaea thermarum	16	16	
50273	Solanum pinnatisectum	16	16	
119954	Melastoma candidum	16	16	
240450	Urochloa ruziziensis	16	16	
176248	Monotropa hypopitys	16	16	
80265	Elaeis oleifera	16	16	
47602	Gossypium stocksii	16	16	
140635	Pohlia nutans	16	16	
34316	Eucalyptus camaldulensis	16	16	
554065	Chlorella variabilis	16	16	
170351	Mitragyna speciosa	18	15	
479676	Rhododendron griersonianum	16	15	
3900	Trifolium subterraneum	16	15	
34168	Diphasiastrum complanatum	15	15	
157934	Ophiorrhiza pumila	15	15	
2759587	Adiantum nelumboides	15	15	
74648	Rosa lucieae	15	15	
110450	Oryza meyeriana var. granulata	15	15	
4516	Hordeum bulbosum	15	15	
13748	Utricularia gibba	15	14	
123599	Larix gmelinii	15	14	
3144	Chlorokybus atmophyticus	15	14	
1413687	Salix dunnii	14	14	
172797	Solanum stenotomum	14	14	
224355	Juglans sigillata	14	14	
62891	Solanum neorickii	14	14	
145388	Monoraphidium neglectum	14	14	
136217	Curcuma longa	14	14	
161865	Dendrobium chrysotoxum	19	13	
56866	Luffa acutangula	14	13	
192852	Abrus pulchellus	13	13	
91518	Microstegium vimineum	13	13	
483875	Oxytropis ochrocephala	13	13	
115661	Solanum appendiculatum	13	13	
165716	Actinidia rufa	13	13	
34143	Eudorina	13	13	
1862640	Erythroxylum novogranatense	13	13	
315350	Solanum galapagense	13	13	
227909	Taxillus chinensis	30	12	
4153	Craterostigma plantagineum	12	12	
544733	Carex parvula	12	12	
2649997	Chlorella ohadii	12	12	
272855	Asparagus kiusianus	12	12	
264416	Diplotaxis tenuifolia	12	12	
554055	Micractinium conductrix	12	12	
106636	Themeda triandra	12	12	
309804	Citrus x paradisi x Citrus trifoliata	12	12	
4639	Ensete ventricosum	12	12	
574566	Coccomyxa subellipsoidea C-169	12	12	
93297	Metroxylon sagu	17	11	
39899	Silene noctiflora	12	11	
33111	Flaveria brownii	11	11	
301880	Tanacetum coccineum	11	11	
366594	Avena atlantica	11	11	
28929	Fagus crenata	11	11	
13786	Trebouxia	11	11	
34286	Gossypium klotzschianum	11	11	
981085	Morus notabilis	11	11	
60093	Vinca minor	11	10	
1266315	Quercus berberidifolia	10	10	
186058	Cuscuta epithymum	10	10	
41803	Cuscuta europaea	10	10	
115915	Boechera divaricarpa	10	10	
34294	Cucurbita argyrosperma	10	10	
3605	Vitis aestivalis	10	10	
4486	Aegilops longissima	10	10	
34276	Gossypium darwinii	10	10	
40148	Oryza glumipatula	10	10	
152275	Vitis riparia x Vitis rupestris	61	9	
2709	Citrus cavaleriei	21	9	
122814	Sonneratia caseolaris	15	9	
92921	Silybum marianum	12	9	
3886	Phaseolus coccineus	12	9	
150983	Nepenthes mirabilis	11	9	
71232	Erysimum cheiri	10	9	
136990	Dendrobium hybrid cultivar	9	9	
90708	Xerophyta viscosa	9	9	
3765	Rosa x damascena	9	9	
266788	Vitis cinerea x Vitis riparia	9	9	
1472648	Aquilaria agallochum	9	9	
48106	Centella asiatica	25	8	
77546	Scenedesmus vacuolatus	9	8	
4532	Oryza australiensis	9	8	
103762	Zizania palustris	8	8	
70124	Crambe hispanica	8	8	
28501	Cornus kousa	8	8	
307507	Raphidocelis subcapitata	8	8	
1245227	Primulina eburnea	8	8	
41874	Bathycoccus	8	8	
204149	Ocimum tenuiflorum	8	8	
60188	Fragaria nubicola	8	8	
3517	Alnus glutinosa	8	8	
41875	Bathycoccus prasinos	8	8	
77588	Oryza coarctata	8	8	
4533	Oryza brachyantha	8	8	
91213	Juglans cathayensis	25	7	
146534	Avena eriantha	19	7	
81964	Selaginella kraussiana	13	7	
38414	Eragrostis curvula	9	7	
13750	Vaccinium macrocarpon	8	7	
183260	Hibiscus sabdariffa	7	7	
